iter	Logloss	Accuracy
0	0.3464566113	0.8742154587
1	0.28187682	0.8917547932
2	0.2499272182	0.9040495228
3	0.230862219	0.9129911444
4	0.220326184	0.9166881609
5	0.213266353	0.9196973605
6	0.2080520774	0.920041269
7	0.2041688312	0.9209010403
8	0.1973519681	0.9222766744
9	0.1905586712	0.9258877139
10	0.1882339479	0.9275212793
11	0.184002231	0.9281231193
12	0.1787137626	0.9309603645
13	0.1774985724	0.9316481816
14	0.1762596952	0.93259393
15	0.1733963139	0.9322500215
16	0.1712931398	0.9327658843
17	0.1689726695	0.9330238157
18	0.168156777	0.9336256556
19	0.1665937749	0.9341415184
20	0.164138599	0.9346573811
21	0.1624040111	0.9355171524
22	0.1604014146	0.9361189923
23	0.1593002167	0.937236695
24	0.1580684012	0.9376665807
25	0.1574251558	0.9378385349
26	0.1564223148	0.9386983063
27	0.1555648812	0.9390422148
28	0.1554099197	0.9389562376
29	0.1537486135	0.9399019861
30	0.1538203539	0.9391281919
31	0.1531237147	0.9393861233
32	0.1526552837	0.9399879632
33	0.1518910321	0.9405898031
34	0.1506402759	0.9406757802
35	0.1496806407	0.9406757802
36	0.1492055519	0.9410196888
37	0.1487804068	0.9419654372
38	0.1476986369	0.9417934829
39	0.147408022	0.9418794601
40	0.1461589213	0.9421373915
41	0.1460850692	0.9422233686
42	0.1459285483	0.9423093457
43	0.1452649305	0.9427392314
44	0.1440075595	0.9426532542
45	0.1434190632	0.9429111856
46	0.1428354914	0.9430831399
47	0.1426534846	0.9433410713
48	0.1426579309	0.943169117
49	0.142167432	0.9436849798
50	0.1414361235	0.9436849798
51	0.141002282	0.9433410713
52	0.140261235	0.9437709569
53	0.1398469878	0.9445447511
54	0.1394609752	0.9447167054
55	0.1391551639	0.9443727968
56	0.1391663575	0.944458774
57	0.1391097247	0.9443727968
58	0.1386777575	0.9449746367
59	0.1377923811	0.9455764767
60	0.1374334931	0.9460923394
61	0.1373424518	0.9463502708
62	0.1369636708	0.9465222251
63	0.1368747244	0.9462642937
64	0.1365417456	0.946436248
65	0.1362873742	0.946436248
66	0.1360629234	0.9461783166
67	0.1357279648	0.9466941793
68	0.135752915	0.9463502708
69	0.1357083139	0.9463502708
70	0.1351033073	0.9467801565
71	0.1347469448	0.9474679735
72	0.1347306114	0.9476399278
73	0.1342732897	0.9474679735
74	0.134146513	0.9475539506
75	0.1340628032	0.9473819964
76	0.1337313012	0.9478978592
77	0.1333219561	0.9472960193
78	0.1331658721	0.9472960193
79	0.1329488655	0.9478978592
80	0.132559061	0.9483277448
81	0.1318831712	0.9482417677
82	0.1314478618	0.9486716533
83	0.1310604707	0.9488436076
84	0.130726563	0.9487576305
85	0.1307188864	0.9487576305
86	0.1304883184	0.949101539
87	0.1299754134	0.9488436076
88	0.1295670413	0.9490155619
89	0.1289487694	0.9503052188
90	0.1278641508	0.9507351045
91	0.1271114195	0.9509930359
92	0.1269370027	0.9507351045
