iter	Logloss	Accuracy
0	0.3469665009	0.875
1	0.2827747849	0.8905840611
2	0.2597114234	0.8994541485
3	0.246268971	0.9028111354
4	0.2263362272	0.9165938865
5	0.218508703	0.9202783843
6	0.2081164748	0.9227074236
7	0.1972124329	0.925900655
8	0.1909306694	0.9290665939
9	0.1845909134	0.9310043668
10	0.1815063337	0.9320141921
11	0.1762533612	0.9337063319
12	0.1733272661	0.9347707424
13	0.1713590814	0.9355349345
14	0.1697490874	0.9365174672
15	0.1669108272	0.9375545852
16	0.1643078573	0.9381550218
17	0.1619864755	0.9387554585
18	0.1601965702	0.9401473799
19	0.1578142929	0.941430131
20	0.1555171291	0.9427128821
21	0.1517496879	0.9440229258
22	0.1498143834	0.9450873362
23	0.1487426863	0.9453329694
24	0.1472982082	0.945878821
25	0.1452696752	0.9466975983
26	0.1435473171	0.9465611354
27	0.1407688578	0.9481168122
28	0.1396783268	0.9483351528
29	0.1385036138	0.9486353712
30	0.1375080046	0.9491812227
31	0.1364340761	0.9499181223
32	0.1347077592	0.9500818777
33	0.133625898	0.9506550218
34	0.1320554575	0.9516648472
35	0.1305785354	0.9516375546
36	0.1296768516	0.9519104803
37	0.1289791194	0.9524017467
38	0.1281918735	0.9527019651
39	0.1270201329	0.9534115721
40	0.1260738989	0.9537117904
41	0.1247850002	0.9543668122
42	0.1244270904	0.9546124454
43	0.1239857174	0.954830786
44	0.1230652086	0.9550764192
45	0.1219655691	0.9560043668
46	0.1214879432	0.956058952
47	0.1202548534	0.9567958515
48	0.1191624352	0.9575327511
49	0.118443153	0.9574508734
50	0.117910721	0.9578329694
51	0.1166283184	0.958569869
52	0.1157395746	0.9588427948
53	0.1151440697	0.9589792576
54	0.1144579205	0.9594978166
55	0.1139765924	0.9598253275
56	0.1133405166	0.9601528384
57	0.1123617498	0.9605622271
58	0.1117387295	0.9608078603
59	0.1111667785	0.9609989083
60	0.1111243284	0.9610262009
61	0.1098919135	0.9615174672
62	0.1091096499	0.9617358079
63	0.1082823793	0.9620360262
64	0.1075657563	0.9626091703
65	0.107085301	0.9630458515
66	0.1067824322	0.9632368996
67	0.1055929454	0.9637281659
68	0.1048509342	0.9641921397
69	0.104209345	0.9644650655
70	0.1040356787	0.9645742358
71	0.1039313638	0.964628821
72	0.1037291077	0.9647925764
73	0.1030729578	0.9649836245
74	0.1026614805	0.9648471616
75	0.1022184087	0.9649563319
76	0.1020225389	0.9650655022
77	0.101356218	0.9653930131
78	0.1007520534	0.9659115721
79	0.1001186282	0.9661026201
80	0.09933712742	0.9661572052
81	0.09907175276	0.9662936681
82	0.09842018626	0.9665120087
83	0.09806870759	0.966430131
84	0.09769460766	0.9666757642
85	0.09745467757	0.9666484716
86	0.09675445064	0.9667849345
87	0.0963254654	0.967139738
88	0.09591626801	0.967139738
89	0.09531074294	0.9671943231
90	0.0949355117	0.9673580786
91	0.09456251445	0.9674945415
92	0.09447048653	0.9675764192
93	0.09391359559	0.9682860262
94	0.09352349311	0.9683679039
95	0.09310831841	0.9686681223
96	0.09271399614	0.9686954148
97	0.09226920692	0.968941048
98	0.0918467968	0.9692412664
99	0.09160616878	0.9691866812
100	0.09122804941	0.9692958515
101	0.09084095041	0.9694050218
102	0.09066276617	0.9695960699
103	0.09021846425	0.9697052402
104	0.0895999178	0.9700873362
105	0.08902029451	0.9703056769
106	0.08860018819	0.9706058952
107	0.08820008074	0.9710971616
