iter	Passed	Remaining
0	10	5442
1	21	5301
2	31	5224
3	41	5155
4	52	5148
5	61	5096
6	72	5132
7	82	5095
8	92	5070
9	103	5061
10	112	5006
11	122	4987
12	132	4957
13	141	4899
14	150	4872
15	160	4854
16	170	4835
17	180	4826
18	190	4816
19	200	4817
20	210	4802
21	226	4914
22	236	4912
23	245	4875
24	255	4856
25	265	4847
26	276	4845
27	286	4834
28	296	4811
29	306	4799
30	315	4769
31	324	4746
32	334	4740
33	344	4726
34	354	4716
35	364	4698
36	374	4683
37	382	4651
38	391	4625
39	401	4613
40	410	4591
41	420	4584
42	428	4557
43	438	4540
44	447	4528
45	458	4522
46	468	4511
47	477	4501
48	488	4494
49	498	4482
50	507	4468
51	518	4467
52	528	4455
53	537	4441
54	546	4425
55	556	4409
56	571	4441
57	581	4429
58	591	4424
59	601	4414
60	610	4395
61	621	4392
62	631	4382
63	642	4375
64	651	4361
65	661	4348
66	670	4331
67	680	4321
68	690	4310
69	700	4301
70	708	4282
71	717	4267
72	726	4250
73	737	4242
74	746	4229
75	755	4213
76	764	4198
77	773	4185
78	783	4173
79	792	4162
80	802	4152
81	811	4138
82	821	4126
83	830	4112
84	839	4099
85	848	4083
86	858	4074
87	868	4065
88	878	4054
89	888	4048
90	898	4037
91	908	4027
92	917	4014
93	930	4019
94	943	4023
95	954	4018
96	968	4021
97	981	4026
98	994	4026
99	1005	4021
100	1017	4021
101	1031	4023
102	1041	4012
103	1051	4003
104	1061	3993
105	1071	3984
106	1081	3971
107	1091	3960
108	1101	3952
109	1111	3941
110	1122	3932
111	1131	3921
112	1141	3909
113	1151	3898
114	1161	3887
115	1170	3875
116	1181	3866
117	1191	3856
118	1214	3888
119	1224	3878
120	1234	3867
121	1244	3857
122	1254	3845
123	1264	3833
124	1272	3818
125	1282	3807
126	1291	3793
127	1301	3781
128	1309	3765
129	1318	3752
130	1327	3739
131	1337	3727
132	1347	3717
133	1356	3704
134	1366	3694
135	1376	3685
136	1386	3674
137	1396	3664
138	1406	3653
139	1417	3645
140	1427	3635
141	1438	3625
142	1449	3617
143	1464	3619
144	1475	3611
145	1488	3610
146	1500	3604
147	1514	3601
148	1526	3596
149	1539	3591
150	1552	3587
151	1565	3584
152	1577	3577
153	1591	3575
154	1605	3572
155	1614	3560
156	1624	3548
157	1633	3535
158	1643	3525
159	1653	3514
160	1663	3503
161	1673	3492
162	1683	3480
163	1693	3469
164	1704	3460
165	1713	3448
166	1722	3435
167	1732	3423
168	1742	3412
169	1752	3401
170	1763	3393
171	1777	3390
172	1791	3385
173	1802	3376
174	1817	3375
175	1830	3370
176	1844	3366
177	1860	3366
178	1876	3364
179	1889	3359
180	1901	3351
181	1914	3344
182	1922	3330
183	1932	3319
184	1942	3307
185	1951	3294
186	1961	3282
187	1970	3269
188	1980	3258
189	1990	3247
190	2000	3235
191	2009	3223
192	2018	3211
193	2029	3200
194	2038	3188
195	2048	3177
196	2058	3166
197	2068	3155
198	2079	3144
199	2089	3134
200	2100	3124
201	2110	3113
202	2120	3101
203	2129	3090
204	2139	3078
205	2149	3067
206	2158	3055
207	2167	3043
208	2182	3038
209	2192	3027
210	2199	3012
211	2209	3001
212	2219	2990
213	2229	2979
214	2239	2968
215	2249	2957
216	2259	2946
217	2268	2933
218	2278	2922
219	2287	2911
220	2298	2901
221	2308	2890
222	2318	2879
223	2328	2868
224	2338	2857
225	2349	2848
226	2358	2836
227	2368	2825
228	2377	2813
229	2388	2803
230	2397	2791
231	2408	2781
232	2418	2770
233	2428	2760
234	2437	2748
235	2447	2738
236	2455	2725
237	2465	2714
238	2475	2703
239	2485	2692
240	2495	2681
241	2505	2670
242	2515	2659
243	2525	2649
244	2533	2637
245	2544	2626
246	2553	2615
247	2563	2605
248	2573	2594
249	2586	2586
250	2596	2575
251	2605	2563
252	2614	2552
253	2624	2541
254	2633	2530
255	2642	2518
256	2651	2507
257	2660	2495
258	2670	2485
259	2681	2474
260	2690	2463
261	2701	2453
262	2711	2443
263	2721	2432
264	2729	2420
265	2738	2409
266	2748	2398
267	2758	2387
268	2768	2377
269	2779	2367
270	2789	2357
271	2800	2347
272	2811	2337
273	2821	2327
274	2833	2318
275	2843	2307
276	2853	2297
277	2864	2287
278	2873	2276
279	2883	2265
280	2895	2256
281	2904	2245
282	2914	2234
283	2924	2224
284	2934	2213
285	2943	2202
286	2953	2192
287	2963	2181
288	2973	2171
289	2983	2160
290	2992	2149
291	3004	2140
292	3017	2131
293	3030	2123
294	3043	2115
295	3057	2106
296	3069	2098
297	3082	2089
298	3095	2080
299	3106	2071
300	3116	2060
301	3126	2049
302	3136	2039
303	3147	2029
304	3157	2018
305	3172	2011
306	3182	2000
307	3190	1989
308	3200	1978
309	3210	1967
310	3220	1957
311	3230	1946
312	3240	1936
313	3250	1925
314	3260	1914
315	3269	1903
316	3279	1893
317	3289	1882
318	3299	1871
319	3307	1860
320	3316	1849
321	3326	1839
322	3336	1828
323	3346	1818
324	3357	1807
325	3366	1797
326	3377	1786
327	3387	1776
328	3396	1765
329	3405	1754
330	3415	1744
331	3426	1733
332	3436	1723
333	3446	1712
334	3455	1702
335	3465	1691
336	3474	1680
337	3484	1670
338	3493	1659
339	3502	1648
340	3513	1638
341	3522	1627
342	3533	1617
343	3543	1606
344	3551	1595
345	3562	1585
346	3572	1575
347	3582	1564
348	3593	1554
349	3606	1545
350	3616	1535
351	3627	1525
352	3637	1514
353	3647	1504
354	3657	1494
355	3667	1483
356	3677	1472
357	3687	1462
358	3697	1452
359	3706	1441
360	3716	1431
361	3723	1419
362	3733	1408
363	3742	1398
364	3751	1387
365	3760	1376
366	3771	1366
367	3780	1356
368	3790	1345
369	3800	1335
370	3810	1324
371	3819	1314
372	3829	1303
373	3838	1293
374	3847	1282
375	3856	1271
376	3867	1261
377	3876	1251
378	3887	1241
379	3895	1230
380	3905	1219
381	3917	1210
382	3928	1200
383	3938	1189
384	3948	1179
385	3958	1169
386	3968	1158
387	3977	1148
388	3987	1137
389	3996	1127
390	4008	1117
391	4018	1107
392	4028	1096
393	4037	1086
394	4046	1075
395	4055	1065
396	4065	1054
397	4074	1044
398	4083	1033
399	4094	1023
400	4102	1012
401	4111	1002
